,,
,"SR ROUTE PLAN",
,,
,,
"Route","Section","CLUSTER"
1,"DS","Boshir Uddin Road"
1,"DS"," Dali Bhari"
1,"DS"," Dolphin Bus Stand"
1,"DS"," Dolphin Goli"
1,"DS"," Kalabagan"
1,"DS"," Kalabagan 2nd Lane"
1,"DS"," Kalabagan Bus Stand"
1,"DS"," Lake Circus"
1,"DS"," Megla Bus Counter"
2,"DS","Alamin Road"
2,"DS"," Central Hospital 5 No. Road"
2,"DS"," Dhanmondi 5 No. Road"
2,"DS"," Dhanmondi 6 No. Road"
2,"DS"," Dhanmondi 7 No. Road"
2,"DS"," Dhanmondi 8 No. Road"
2,"DS"," Kathal Bagan Bazar"
2,"DS"," Kathalbagan Bazar"
2,"DS"," Khaja Hotel"
2,"DS"," Lab Aid Hospital"
2,"DS"," Staff Quarter"
2,"DS"," Vojon Bilash"
3,"A","Bata Signal"
3,"B","Commissioner Goli"
3,"A"," Central Road"
3,"B"," Hatirpool Free School Street"
3,"A"," Coffee House Goli"
3,"B"," Hatirpool Mour"
3,"A"," Elephant Road"
3,"B"," Kalabagan Thana Vuter Goli"
3,"A"," Hatirpul Kancha Bazar"
3,"B"," North Circular Road"
3,"A"," Katabon"
3,"B"," Vuter Goli"
3,"A"," New Elephant Road"
3,"B"," Sonargaon Road Eastern Plaza"
4,"A","Bangla Motors"
4,"B","Alam Hotel"
4,"A"," Commissioner Goli"
4,"B"," Bangla Motors"
4,"A"," Crescent Rose"
4,"B"," Eastern Plaza"
4,"A"," Green Center"
4,"B"," Motalab Plaza"
4,"A"," Nasrullahar Bari"
4,"B"," Poribag Bazar"
4,"A"," poribagh"
4,"B"," Poribag Mosjid"
4,"A"," Pukur Par Mosjid"
4,"B"," Somoy TV"
4,"A"," Purkur Par"
4,"B"," Sonargaon Road  "
4,"A"," Vuter Goli"
5,"A","Bow Bazar"
5,"B","Box Culvert"
5,"A"," Comfort Hospital"
5,"B"," Caffee Noor Hotel"
5,"A"," Gestolever Goli"
5,"B"," Free School Street"
5,"A"," Lake Circus"
5,"B"," Green Road"
5,"A"," Lal Fokir M.R"
5,"A"," New Bow Bazar"
5,"A"," Rasel Square"
5,"A"," Square Hospital"
6,"DS","Basundhara City"
6,"DS"," Basundhara City East Side"
6,"DS"," Basundhara City West Side"
6,"DS"," Garden Road"
6,"DS"," Garden Road"
6,"DS"," Pantho Path"
6,"DS"," Green Road Pantha Path"
6,"DS"," Near Suvastu Tower"
6,"DS"," Pantho Path"
6,"DS"," Pantho Path Main Road"
6,"DS"," Pantho Path Signal"
6,"DS"," Pantho Path"
6,"DS"," Basundhara City"
6,"DS"," Samurai Convensionery"
6,"DS"," Sumurai Convensionery"
6,"DS"," Victoria University"
7,"A","East Raza Bazar"
7,"A"," Sobhanbag"
7,"B"," Sobhanbag"
7,"A"," T&T Field"
7,"B"," Sukrabad Baazar"
7,"B"," New Model College"
7,"B"," Pantho Path Dhali Bari"
7,"B"," Sukrabad Bazar"
7,"B"," Sukrabad Bus Stand"
7,"B"," Sukrabad Dhal"
8,"DS","Dhanmondi 27 Meena Bazar"
8,"DS"," Lalmatia Block-A"
8,"DS"," Lalmatia Block-E"
8,"DS"," Lalmatia Minar Mosjid"
8,"DS"," Lalmatia Wasa"
8,"DS"," Opposite of HSBC Bank"
8,"DS"," Rafa Plaza"
9,"A","Ambagan"
9,"B","Basundhara Back Side"
9,"A"," Amtala Raza Bazar"
9,"B"," Firmgate"
9,"A"," East Raza Bazar"
9,"B"," Garden Road"
9,"A"," Green Road Bonoful"
9,"B"," Green Super Janata Bank"
9,"A"," Green Road IBA Hostel"
9,"B"," Jahanara Garden"
9,"A"," Green Road Pantha Path Signal"
9,"B"," Purnima Restora"
9,"A"," Indira Road Bou Bazar"
9,"B"," Tejturi Bazar"
9,"A"," Indira Road Commissioner Goli"
9,"A"," Indira Road Raza Bazar"
10,"DS","Indira Road"
10,"DS"," Manik Mia Avenue"
10,"DS"," Monipuri Para"
10,"DS"," Sejan Point"
10,"DS"," Tejgaon College"
11,"DS","Khamar Bari Eye Hospital"
11,"DS"," Lion Shopping Complex"
11,"DS"," Monipuri Para Krishi Lab Mosjid"
11,"DS"," Police Box"
12,"DS","66 Firmgate"
12,"DS"," Ananda Hall"
12,"DS"," Purnima Hall"
12,"DS"," UCC Coaching Center"
13,"DS","Alu Bazar"
13,"DS"," Ambar Shah Masjid"
13,"DS"," City Corporation"
13,"DS"," East Tejturi Bazar"
13,"DS"," HRC Bhaban Kawran Bazar"
13,"DS"," Janata Tower Kawran Bazar"
13,"DS"," Prothom Alo Bhaban"
13,"DS"," Soudia Hotel"
14,"A","1 No. DIT Market"
14,"B","2 No. Super Market"
14,"A"," Bhanga Gate"
14,"B"," BTCC Bhaban"
14,"A"," FDC gate"
14,"B"," DIT Market"
14,"A"," Railgate"
14,"B"," ETV Goli"
14,"A"," Railway Market"
14,"B"," Hasina Market"
14,"A"," Truck Stand Mosjid Market"
14,"B"," Kitchen Market"
14,"A"," Wasa Bhaban"
14,"B"," Surma Hotel"
15,"DS","Fakir Bazar"
15,"DS"," Kamal Potti"
15,"DS"," Kawran Bazar Railway Market"
15,"DS"," Khelagar Math"
15,"DS"," Machar Arot"
15,"DS"," Railway Market"
16,"A","1 No. Rail Gate"
16,"B","Airport Road"
16,"A"," Eskaton Road"
16,"B"," Awlad Hossan Market"
16,"A"," Firmgate Al Raji Hospital"
16,"B"," Eskaton Road"
16,"A"," Nimtoli Mosjid"
16,"B"," Holicross Road"
16,"A"," Tejkunipara Mohila College"
16,"B"," Kalmilata Bazar"
16,"A"," Tejkunipara Sceince College"
16,"B"," Khelagor Math"
16,"B"," Railway Market"
17,"A","Galif Sarani"
17,"B","12No Nakhal para"
17,"A"," Tezkuni para"
17,"B"," West Nakhal para"
17,"A"," Kathal tala Mour"
17,"B"," Bonoful goli"
17,"A"," Lucas Mour"
17,"B"," Elen Bari Nakhal para"
17,"A"," Nakhal para"
17,"B"," Saw Miller Dhal"
17,"A"," Rangs Road"
17,"B"," Sia Majar Dhal"
17,"A","  Saw miler Dhal"
17,"B","Super Market Road."
18,"DS","Channel I"
18,"DS"," Bottola"
18,"DS"," East Nakhalpara"
18,"DS"," Metropoliton Hospital"
18,"DS"," Rasulbag"
18,"DS"," S A Poribohon"
18,"DS"," Samity Bazar"
18,"DS"," Somity Bazar"
19,"DS","Abbas Garden Mohakhali"
19,"DS"," Arjatpara 10 Mohakhali"
19,"DS"," BAT Gate"
19,"DS"," BRTC Counter"
19,"DS"," CNG Pump"
19,"DS"," Mohakhali"
19,"DS"," Mohakhali Bottola"
19,"DS"," Rail Gate"
19,"DS"," Railgate Mohakhali"
19,"DS"," Rawa Gate"
19,"DS"," Sahin bag 421 No. Goli"
19,"DS"," Sahin bag 6 No. Goli"
19,"DS"," Sahin Complex"
19,"DS"," Sahinbag Gate"
20,"B","BG Press Staff Quarter"
20,"B"," Hazi Moron Ali Road"
20,"B"," Nabisco Mour"
20,"A"," 12 No. Goli"
20,"B"," Nakhalpar Bazar Road"
20,"A"," East Nakhalpara"
20,"B"," Nakhalpara Bazar"
20,"A"," Hazi Moron Ali Road"
20,"B"," Railgate  "
20,"A"," Lichu Bagan"
20,"B"," Tibbot Goli"
20,"A"," Lucas Mour"
20,"A"," Nakhalpara Railgate"
20,"A"," Post Office Goli"
20,"A"," Sat Rasta"
20,"A"," West Nakhalpara"
21,"DS","Arjat Para"
21,"DS"," Bou Bazar East Nakhalpara"
21,"DS"," Paglar Pul Bridge"
21,"DS"," Rasulbag Mohakhali"
21,"DS"," Rasulbag Mosjid Goli"
21,"DS"," Sadekur Rahman Hero Road"
22,"DS","14 No. Goli"
22,"DS"," BRTC Goli"
22,"DS"," Rangs Goli"
22,"DS"," Rasulbag Mosjid Goli"
22,"DS"," Truck Stand"


23,"A",
23,"B","Betar Bhaban Gate"

"Coast Guard Bhaban Gate"


"Jokkha Hospital Gate"

"Neuro Science Hospital"

"Pongu Hospital Gate"

"Shishu Hospital Gate"

"Songeet College Gate"



24,"DS","Agargaon Bazar"
24,"DS"," Agargaon Bus Stand"
24,"DS"," IDB"
24,"DS"," Janata Housing"
24,"DS"," Paka Market"
24,"DS"," Sceince Museum"
24,"DS"," Taltola"
24,"DS"," Taltola  "
24,"DS"," Taltola Bazar"
24,"DS"," Taltola Coloni"
24,"DS"," Water Tanky"


25,"A",
25,"B","Amirer Tek"

"Bhuiyan Goli"

"BNP Bazar  "

"BNP Bazar New Road"

"Commissioner Goli"

"Kazi Office"

"Khanka Sharif"

"Shamoli 2 No. Road"


26,"A",
26,"B","Balur Math"

"BRTC Gate"

"Kallanpur 11 No. Road"

"Kallanpur 3 No. Road"

"Kallanpur Bus Stand"

"Kallanpur Main Road"

"Kallyanpur  Bus Stand"

"Kallyanpur Bus Stand"

"Sahid Minar Road"



27,"DS","3 No. Road Shyamoli"
27,"DS"," Asadgate"
27,"DS"," Bata Shopping Mall"
27,"DS"," Darus Salam Tower"
27,"DS"," Dipjol Pump"
27,"DS"," Hanif Counter Kallyanpur"
27,"DS"," Khaja Market Kallyanpur"
27,"DS"," Kidni Hospital"
27,"DS"," Sahid Shorwardi Hospital"
27,"DS"," Sahid Sorwardi"
27,"DS"," Samoly Market"
27,"DS"," Shamoli 2 No. Road"
27,"DS"," Shamoly"
27,"DS"," Shishu Mela"
28,"DS","Asadgate"
28,"DS"," Babor Road"
28,"DS"," College Gate"
28,"DS"," Lalmatia Wasa"
28,"DS"," New Colony"
28,"DS"," Ring Road"
28,"DS"," Shamoly Hall"
28,"DS"," Sir Syed Road"
29,"DS","1 No. Geneva Camp"
29,"DS"," Aziz Moholla"
29,"DS"," Bazar Road"
29,"DS"," Gojnobi Road"
29,"DS"," Humayun Road"
29,"DS"," Jannatbag Khelar Math"
29,"DS"," Puratan Thana"
29,"DS"," Shajahan Road"
29,"DS"," SP Road"
29,"DS"," Tajmahal Road"
29,"DS"," Tikka Para"
30,"DS","Humayun Road"
30,"DS"," Krishi Market"
30,"DS"," Krishi Market 1 No. Gate"
30,"DS"," Krishi Market Chal Bazar"
30,"DS"," Krishi market"
30,"DS"," Kancha Bazar"
30,"DS"," Minar Mosjid"
30,"DS"," Nahar Hotel"
30,"DS"," Tajmahal  "
30,"DS"," Tajmahal Road"
30,"DS"," Tikka Para"


31,"A",
31,"B","Aziz Moholla Mosjid Market"

"Babor Road"

"Chander Hat Khelar Math"

"Jahuri Moholla"

"Jannatbag Khelar Math"

"Staff Quarter Camper Bazar"

"Tikka Para"



"Ikbal Road"
" Kath Potti sher Shah Suri Road"
" Sher Shah Suri Road"
" Tajmahal Road"
" Town Hall"
" Town Hall Bottola"
" Town Hall Camp Bazar"
" Town Hall Gate Govt. Market"
" Town Hall Govt. Market"
" Town Hall Kancha Bazar"


"Asad Avenue"
"BRTC Bus Stand"
"Minar Mosjid"
"Noor Jahan Road"
"Rajia Sultana Road"
"Solimulla Road"
"Tajmahal Road"


34,"A","Adabar Thana Ring Road"
"Badshah Faisal In."

"Kirshi Market Ring Road"

"Noor Jahan Road"

"Ring Road Janata Housing"

"Ring Road Tikka Para"

"Sampa Market Ring Road"

"Sia Masjid Ring Road"



35,"DS","Basbari Road"
35,"DS"," Kaba Masjid Road"
35,"DS"," Koba Mosjid Road"
35,"DS"," Mohammadia Housing Main"
35,"DS"," Nurjahan Road"
35,"DS"," Sat Mosjid Road"
35,"DS"," Sia Mosjid Road"
35,"DS"," Sonali Math"

36,"DS","City College"
36,"DS"," Dhanmondi"
36,"DS"," Dhanmondi Club Math"
36,"DS"," Front of Lab Aid"
36,"DS"," Kalabagan"
36,"DS"," Rafa Plaza"
36,"DS"," Sobhanbag Corner"
36,"DS"," Star Kabab Dhanmondi 2 No."

37,"DS","Abahani Math"
37,"DS"," Anam Rangs Plaza"
37,"DS"," Dhanmondi 2 No"
37,"DS"," Dhanmondi 2 No."
37,"DS"," Dhanmondi 3/2/1"
37,"DS"," Dhanmondi 3A/4A"
37,"DS"," Dhanmondi 6/5/4"
37,"DS"," Dhanmondi 8"
37,"DS"," IBN Sina 9/A"
37,"DS"," KFC 7/A"
37,"DS"," Medinova Medical"
37,"DS"," Northern University"
37,"DS"," Rifles Square"
37,"DS"," Robindro Sorobor"
37,"DS"," Zigatala Bus Stand"

38,"DS","Abahani Field"
38,"DS"," Abahani Math"
38,"DS"," Bangladesh Medical"
38,"DS"," Dhanmondi 10/A"
38,"DS"," Dhanmondi 27 Meena Bazar"
38,"DS"," Dhanmondi 8"
38,"DS"," Dhanmondi Abahani Field"
38,"DS"," Dhanmondi Chayanot"
38,"DS"," Dhanmondi Naz E Noor Hotel"
38,"DS"," Dhanmondi Road 10/A"
38,"DS"," Dhanmondi Road 11A/12A"
38,"DS"," IBN Sina 9/A"
38,"DS"," KFC 7/A"
38,"DS"," Meena Bazar 9/A"
38,"DS"," Star Kabab"


39,"DS","Bangladesh Eye Hospital"
39,"DS"," Dhanmondi 27 Meena Bazar"
39,"DS"," Lalmatia Block-D"
39,"DS"," Lalmatia Block-E"
39,"DS"," Lalmatia Minar Mosjid"
39,"DS"," Mohammadpur Thana"
39,"DS"," Nazrul Islam Road"
39,"DS"," Physical College"
39,"DS"," Town Hall Camp Bazar"


40,"DS","Bangladesh Eye Hospital"
40,"DS"," Community Center"
40,"DS"," Opposite Of Shankar Mosjid"
40,"DS"," Popular"
40,"DS"," Shankar"
40,"DS"," Shankar Bus Stand"
40,"DS"," Shankar Tushar Hotel"
40,"DS"," Sher-e Bangla Road Pulpar"
40,"DS"," Zafrabad Pulpar"
40,"DS"," Zafrabad Shankar"


41,"DS","Chairman Goli"
41,"DS"," City Cafe"
41,"DS"," Niribili Housing"
41,"DS"," Pathsala Goli"
41,"DS"," Rayer Bazar Community Center"
41,"DS"," Rayer Bazar Godigor Goli"
41,"DS"," Rayer Bazar Khalar Math"
41,"DS"," Shankar Balur math"
41,"DS"," Study Town"


42,"DS","15 No. Staff Quarter"
42,"DS"," Dhanmondi Road 8/A"
42,"DS"," Zigatala"
42,"DS"," Zigatala Bus Stand"
42,"DS"," Zigatala Mour"
42,"DS"," Zigatala New Road"
42,"DS"," Zigatala Road"
42,"DS"," Zigatala Salek Garden"
42,"DS"," Zigatala Staff Quarter"


43,"A",
43,"B",


44

"Bou Bazar"
"Bou Bazar"
"Boubazar Charak Ghata"
"Rana Bekari"
"Rana Bekary"
"Sikder Real Estate"
"Sikder Real Estate Tali Office"
"Tenari Mour"
"Tollabag Tenari mour"
"Yusuf Leather"



45,"DS","15 No. Bus Stand"
45,"DS"," 250 Sultangonj Road"
45,"DS"," Hatembag Mosjid Janata Bank Mour"
45,"DS"," Hatembag Mosjid Mour"
45,"DS"," Modu Bazar"
45,"DS"," Rayar Bazar School Mour"
45,"DS"," Sher-e Bangla Road   "
45,"DS"," Sultangonj Road Nimtala Mondir"
45,"DS"," Tali Office Mour"


46,"DS","7/A"
46,"DS"," Dhanmondi"
46,"DS"," 7A Dhanmondi"
46,"DS"," Moneswar Road"
46,"DS"," Tenari Mour"
46,"DS"," Tenari Mour Water Pump"
46,"DS"," ULAB"
46,"DS"," Zigatala"
46,"DS"," Zigatala Mour"
46,"DS"," Zigatala New Road"
46,"DS"," Zigatola"


47,"A",
47,"B",



48,"A",
48,"B",



"Beribandh Boat Guard"

"Boat Guard"

"Boat Guard Buddijhibi"

"Buddijibi"

"Jafrabad Babri Mosjid"

"Katasur Nama Bazar"

"Pulpar Road"

"Sadek Khan "

"Sadek Khan Krishi Market"

"Sikder Medical"



"Beribandh Green View Housing"

"Boatguard Bazar"

"Bosila Road"

"Chand Uddyan Main Road"

"Hossan market"

"Tinrasta Mour"


"13No Bus Stand"

"Bosila Road Nama Bazar"

"Kaderabad Nama Bazar"

"Mohammadpur Bus Stand"

"Nama Bazar"

"Satmasjid Super Market"

"Supar Market"

"Tempoo Stand Gas Factory"



52,"DS","4No Housing"
52,"DS"," 6No Beribadh"
52,"DS"," 6No Housing"
52,"DS"," Beribadh"
52,"DS"," Beribandh Main Road"
52,"DS"," Beribandh Mina Bazar"
52,"DS"," Houisng 3 No."
52,"DS"," Houisng 4 No."
52,"DS"," Houisng 6 No."
52,"DS"," Mohammadi Housing 5 No."
52,"DS"," Nobi Nagar 7no"
52,"DS"," Nobinagar 7 No. Road"
52,"DS"," Nobinagar Bazar"
52,"DS"," Sat Masjid Madrasa"


"Al Noor Real Estate"
53,"B","Chand Uddyan Housing"
"Beribandh"
"Chand Uddyan Housing"
"Chand Uddyan Main Road"
"Sat Masjid Madrasa"
"Shopnonir Housing"

"Hospital Road"

"Mohammadia Housing Society"

"Nobodoy 10 No. Road"

"Nobodoy Bazar"

"Nobodoy Dhal"

"Nobodoy Kamal Housing"

"Nobodoy main Road"




"Akkas nagar Dhaka Uddyan"

"Azim Tower Beribandh"

"Dhaka Uddyan 3 No. Road"

"Sunirbir Housing Bazar"
"Switch Gate Beribandh"



"Adabar 13 No. Road"

"Adabar 13 No. Road inside"

"Adabar 16 No. Bazar Road"

"Adabar 17 No. Main Road"

"Adabar 17 No. Road A"

"Adabar 17 No. Road B"

"Adabar 17 No. Road C"

"Adabar 18 No. Road B"




"Adabar Bazar"
"Ahsan Ullah market"
"Nobodoy Housing Main Road"
"Shekertak 2"
"Shekertak 3"
"Shekertek 1"
"Shekertek 2"
"Shekertek 20"
"Shekertek 3"
"Shekertek 4"
"Shekertek 7 No. Mour"
"Shekertek 7"
"Shekertek 8"
"Shekertek 9"



"1 No. Adabar"
"Adabar 2 No. Road"
"Adabar Chad Tola"
"Adabar Chad Tola Mosjid Goli"
"Adabar Dhaka Housing"
"Mehedibag 1 No. Road"
"Mehedibag 2 No. Road"
"Mehedibag 3 No. Road"
"Mehedibag 4 No. Road"


59,"DS","Kawranbazar"
59,"DS"," Mohammadpur"
59,"DS"," Kathal Bagan"
59,"DS"," Kolmilota market"
61,"A","Chand Uddan R-7"
61,"B","Dhaka Uddan Road 2 Block C"
61,"A"," Satmosjid Housing"
61,"B"," Turag Housing"

62,"A","Salam Shordar Road"
62,"B","Metro Housing"
62,"A"," Bhai Bhai Road"
62,"B"," Shajalal Housing"
